barcode,skuName,skuType,skuStatus,price,channel,brand,size,purchaseDate,photo
100,暗红连裤袜,1,2,0,小宝,0,大,"2016-12-18 00:00:00",../upload/2017/10/43455900.jpg
101,粉红连裤袜,1,5,0,小宝,0,大,"2016-12-18 00:00:00",../upload/2017/10/71134200.jpg
102,棉毛裤,1,2,0,小宝,0,大,"2016-12-18 00:00:00",../upload/2017/10/35708000.jpg
103,开裆裤,1,1,0,爸爸,0,0,"2016-12-18 00:00:00",../upload/2017/10/40022100.jpg
104,开裆裤,1,1,0,爸爸,0,0,"2016-12-18 00:00:00",../upload/2017/10/93127500.jpg
105,next长袖,1,1,0,next官网,next,0,"2016-12-18 00:00:00",../upload/2017/10/67705200.jpg
106,粉色薄棉短袜,1,1,0,丽婴坊淘宝？,丽婴房,0,"2016-01-01 00:00:00",../upload/2017/10/62417600.jpg
107,棉长袖,1,1,0,易初莲花,0,0,"2016-01-01 00:00:00",../upload/2017/10/67981100.jpg
108,小黄鸭白色七分裤,1,2,0,南桥百联,小黄鸭piyopiyo,100/50（3A）,"2017-01-01 00:00:00",../upload/2017/10/88747900.jpg
109,裙上衣,1,1,0,易初莲花,辰尔衣多,80/48,"2017-01-01 00:00:00",../upload/2017/10/74236900.jpg
110,横条纹长袖,1,1,0,京东,戴维贝拉,66/44（12m）,"2017-01-01 00:00:00",../upload/2017/10/61286800.jpg
111,小黄鸭粉色长袖,1,2,0,南桥百联,小黄鸭,73/48（1A）,"2017-01-01 00:00:00",../upload/2017/10/00671600.jpg
112,短裤,1,2,0,南桥宝大祥,xx,80/47,"2017-01-01 00:00:00",../upload/2017/10/76359300.jpg
113,短袖,1,2,0,南桥宝大祥,xx,80/48,"2017-01-01 00:00:00",../upload/2017/10/31041500.jpg
114,短袖,1,1,0,小贝,vancl,0,"2017-06-01 00:00:00",../upload/2017/10/68804100.jpg
115,绒外套连体,1,1,0,张俊伟哥哥,0,9months,"2016-12-18 00:00:00",../upload/2017/10/13625900.jpg
116,蓝色薄短袜,1,2,0,0,丽婴房,0,"2017-01-01 00:00:00",../upload/2017/10/44960200.jpg
118,短袖连体衣,1,5,0,淘宝,丽婴房,0,"2017-01-01 00:00:00",../upload/2017/10/67055400.jpg
119,浅蓝短裤,1,2,0,宝龙,mikobomi,90/47,"2017-01-01 00:00:00",../upload/2017/10/19110200.jpg
120,连帽卫衣,1,1,0,小贝,"louis toccd",90/52（2-3岁）,"2017-01-01 00:00:00",../upload/2017/10/37860000.jpg
121,彩虹短袖,1,2,0,小宝,gap,4years,"2017-06-01 00:00:00",../upload/2017/10/54404800.jpg
122,灰色紧身裤,1,1,0,南桥百联优衣库,优衣库,90/41（13kg）,"2017-01-01 00:00:00",../upload/2017/11/45169100.jpg
123,棉毛衫,1,2,0,小宝,拉比,100/52（36months）,"2017-01-01 00:00:00",../upload/2017/11/37950900.jpg
124,黑色连裤袜,1,2,0,小宝,0,0,"2017-01-01 00:00:00",../upload/2017/11/96870000.jpg
125,棉毛裤,1,2,0,小宝,拉比,100/53(4-5years),"2017-01-01 00:00:00",../upload/2017/11/15956300.jpg
126,棉毛衫,1,2,0,小宝,拉比,110/56（4-5岁）,"2017-01-01 00:00:00",../upload/2017/11/18896900.jpg
127,棉毛裤,1,2,0,小宝,优贝宜,120/60,"2017-01-01 00:00:00",../upload/2017/11/78106200.jpg
128,长袖,1,1,0,妈妈,0,0,"2017-01-01 00:00:00",../upload/2017/11/23611100.jpg
130,棉毛衫,1,2,0,小宝,优贝宜,120/60,"2017-01-01 00:00:00",../upload/2017/11/58123800.jpg
131,蓝色短袖,1,2,0,宝龙,0,90/52,"2017-01-01 00:00:00",../upload/2017/11/23564800.jpg
132,短袖连体衣,1,2,0,宝龙,0,80/48,"2017-01-01 00:00:00",../upload/2017/11/59483000.jpg
133,长袖内衣,1,1,0,爸爸,0,0,"2017-01-01 00:00:00",../upload/2017/11/91512500.jpg
134,长袖内衣,1,5,0,爸爸,0,0,"2016-12-18 00:00:00",../upload/2017/11/14216500.jpg
135,外套,2,3,0,妈妈,0,0,"2017-10-01 00:00:00",../upload/2017/11/48903400.jpg
